# galaxy_id redshift_true ra dec mag_u_obs magerr_u_obs mag_g_obs magerr_g_obs mag_r_obs magerr_r_obs mag_i_obs magerr_i_obs mag_z_obs magerr_z_obs mag_y_obs magerr_y_obs
9.816177329000000000e+09 1.254659652709960938e+00 6.668967099205816851e+01 -4.071894961557671166e+01 2.505057334899902344e+01 1.777645051479339600e-01 2.511050987243652344e+01 3.965148702263832092e-02 2.503301048278808594e+01 3.400513902306556702e-02 2.490839958190917969e+01 4.374001920223236084e-02 2.443597221374511719e+01 5.015230178833007812e-02 2.396974754333496094e+01 7.495851814746856689e-02
1.056368106100000000e+10 7.779145240783691406e-01 6.579465348747062592e+01 -4.224835103599416186e+01 3.095085144042968750e+01 4.056195068359375000e+01 2.687440109252929688e+01 1.985954940319061279e-01 2.579313278198242188e+01 6.773667782545089722e-02 2.462756347656250000e+01 3.396213799715042114e-02 2.426830673217773438e+01 4.308152198791503906e-02 2.395991325378417969e+01 7.428743690252304077e-02
6.063524400000000000e+09 7.203147411346435547e-01 6.458520166150479724e+01 -3.504172447379745847e+01 2.525394821166992188e+01 2.142191678285598755e-01 2.483996582031250000e+01 3.112530894577503204e-02 2.396609878540039062e+01 1.365426927804946899e-02 2.306801223754882812e+01 9.542659856379032135e-03 2.281411933898925781e+01 1.240965165197849274e-02 2.265929031372070312e+01 2.305826172232627869e-02
1.194061212500000000e+10 1.118690729141235352e+00 6.692685373170834850e+01 -4.411976143174914000e+01 2.503448295593261719e+01 1.751622706651687622e-01 2.545040321350097656e+01 5.392338335514068604e-02 2.519192886352539062e+01 3.922812640666961670e-02 2.491213417053222656e+01 4.388817772269248962e-02 2.437722778320312500e+01 4.754823073744773865e-02 2.426626968383789062e+01 9.834364801645278931e-02
7.005915201000000000e+09 1.571318864822387695e+00 6.307822476327930161e+01 -3.627059250102173849e+01 2.444999885559082031e+01 1.026104539632797241e-01 2.476492309570312500e+01 2.912086248397827148e-02 2.477126502990722656e+01 2.693807519972324371e-02 2.465829467773437500e+01 3.491101041436195374e-02 2.459567070007324219e+01 5.799396708607673645e-02 2.441785430908203125e+01 1.130127906799316406e-01
1.050028605100000000e+10 4.580093622207641602e-01 6.322365750807215790e+01 -4.172043693375847795e+01 2.388729286193847656e+01 6.151502951979637146e-02 2.320824050903320312e+01 8.642974309623241425e-03 2.204064178466796875e+01 5.505521316081285477e-03 2.159645462036132812e+01 5.473566707223653793e-03 2.137372016906738281e+01 5.912246182560920715e-03 2.124923515319824219e+01 8.031374774873256683e-03
1.050214806800000000e+10 1.003671407699584961e+00 6.354133834577319817e+01 -4.193916424270995691e+01 2.572772979736328125e+01 3.309879004955291748e-01 2.506986236572265625e+01 3.822845593094825745e-02 2.384722137451171875e+01 1.245495397597551346e-02 2.288325309753417969e+01 8.508623577654361725e-03 2.210712432861328125e+01 7.822362706065177917e-03 2.174090766906738281e+01 1.097816042602062225e-02
9.817694985000000000e+09 1.451924085617065430e+00 6.739379028724822263e+01 -3.990956634842405748e+01 2.411830139160156250e+01 7.585263252258300781e-02 2.401045227050781250e+01 1.529896631836891174e-02 2.400480270385742188e+01 1.407817658036947250e-02 2.373084068298339844e+01 1.563293300569057465e-02 2.352720451354980469e+01 2.228873036801815033e-02 2.294972610473632812e+01 2.977499179542064667e-02
1.062518345700000000e+10 4.012837409973144531e-01 6.944075340597822787e+01 -4.100825223123985097e+01 2.247730827331542969e+01 1.792910136282444000e-02 2.186329841613769531e+01 5.473726429045200348e-03 2.084618377685546875e+01 5.075872410088777542e-03 2.042955398559570312e+01 5.074440035969018936e-03 2.017469596862792969e+01 5.133824422955513000e-03 2.000738334655761719e+01 5.434994585812091827e-03
8.876535878000000000e+09 8.503018617630004883e-01 6.383140550563643245e+01 -3.951143444351257017e+01 2.668288612365722656e+01 7.967234253883361816e-01 2.576745033264160156e+01 7.197659462690353394e-02 2.545577812194824219e+01 4.981184750795364380e-02 2.467282676696777344e+01 3.536925837397575378e-02 2.450506782531738281e+01 5.340301245450973511e-02 2.463366127014160156e+01 1.377759277820587158e-01
